戦,たたか。う,Battle,349
州,しゅう,State,350
伝,デン(伝説),Tradition,351
守,まも。る,Protect,352
竹,たけ,Bamboo,353
印,イン,Seal,354
羽,はね,Feather,355
老,ロウ(老人),Old,356
曲,ま。がる,To Turn,357
血,ち,Blood,358
寺,てら,Temple,359
仲,ナカ(仲間),Relationship,360
列,レツ,Row,361
兆,きざ。す,To Indicate,362
衣,ころも,Garment,363
虫,むし,Bug,364
糸,いと,Thread,365
灯,トウ,Lamp,366
羊,ひつじ,Sheep,367
決,き。める,To Decide,368
改,カイ,Reformation,369
初,はじ。めて,First,370
告,コク,Inform,371
利,リ(利息),Profit,372
息,いき,Breath,373
求,もと。める,To Seek,374
投,とう。じる,To Throw,375
位,くらい,Some,376
局,キョク,Office,377
役,ヤク,Role,378
身,(自身)シン,Person,379
助,たす。かる,Rescue,380
形,かたち,Shape,381
良,よ。い,Good,382
谷,たに,Valley,383
労,ロウ,Labour,384
兵,(海兵)ヘイ,Soldier,385
材,ザイ,Materials,386
完,カン(完全),Perfect,387
冷,つめ。たい,Cold,388
児,ジ,Infant,389
返,かえ。す,To Return,390
芸,ゲイ(芸者),Art,391
努,つと。める,To Endeavour,392
囲,かこ。む,To Surround,393
角,(四角)カク,Angle,394
坂,さか,Hill,395
希,キ(希望),Hope,396
望,(希望)ぼう,Aspiration,397
約,ヤク(約束),Promise,398
束,(約束)ソク,Bundle,399
君,きみ,You,400
折,お。る,To Break,401
里,さと,Village,402
臣,(大臣)シン,Retainer,403
豆,まめ,Beans,404
麦,むぎ(麦わら),Wheat,405
貝,カイ,Shellfish,406
汽,き,Steam,407
実,じつ,Reality,408
表,ヒョウ,Expression,409
法,(方法)ホウ,Principle,410
的,(目的)テキ,Target,411
治,なお。す,To Cure,412
協,キョウ(協会),Cooperation,413
取,と。る,To Take,414
受,う。ける,To Receive,415
府,(政府)フ,Borough,416
委,ゆだ。ねる,To Entrust To,417
参,まい。ります,To Move,418
官,(長官)カン,(Govt) Secretary,419
直,す。ぐに  ネ(値段),Straigtaway,420
果,(効果)カ,Reward,421
放,はな。す,To Set Free,422
育,そだ。つ,To Bring Up,423
残,ザン(残念)  のこ。り,Leftover,424
念,(残念)ねん,Sense,425
例,たと。えば,To Liken,426
松,まつ,Pine,427
岸,きし,Shore,428
周,まわ。り,Around,429
苦,くる。しむ,To suffer,430
具,(道具)ぐ,Tool,431
油,あぶら,Oil,432
波,なみ,Wave,433
固,かた。い,Hard,434
卒,ソツ(卒業),Graduate,435
幸,しあわ。せ,Happiness,436
岩,いわ,Stone,437
季,キ(季節),Season,438
節,(季節)セツ,Cycle,439
底,(海底)テイ,Low,440
板,(黒板)ハン,Board,441
典,テン,Law Code,442
昔,むかし,Long Ago,443
泳,およ。ぐ,To Swim,444
刷,す。る サツ,To Print,445
牧,ボク(牧人),Breed,446
泣,な。く,To Cry,447
毒,どく,Poison,448
径,(半径)ケイ,Diameter,449
芽,め,Sprout,450
相,アイ(相手),Mutual,451
要,(必要)ヨウ,Need,452
指,ゆび,Finger,453
点,(0点五)テン,Point (.),454
活,(生活)カツ,Lively,455
面,オモ(面白い)  メン,Mask,456
軍,(空軍)グン,Army,457
信,しん。じる,To Believe,458
昨,さく(昨年),Previous,459
係,かかり,Person in charge,460
変,ヘン,Strange,461
神,かみ(神様),God,462
追,お。う,Chase,463
負,ま。ける,To Lose,464
美,うつく。しい,Beautiful,465
型,かた  ケイ,Model,466
科,カ(科学),Course,467
省,ショウ,Ministry,468
客,キャク(客様),Customer,469
飛,と。ぶ,To Fly,470
単,(簡単)たん,Simple,471
昭,ショウ(昭和),Shining,472
紀,(世紀)キ,Period (Era),473
級,(10級)キュウ,Rank,474
星,ほし,Star,475
栄,エイ(栄光),Glory,476
草,くさ,Grass,477
秒,ビョウ,Second,478
柱,はしら,Pillar,479
畑,はたけ,Field,480
祝,いわ。う,To Celebrate,481
浅,あさ。い,Superficial ,482
炭,すみ,Charcoal,483
勇,ユウ(勇気),Bravery,484
拾,ひろ。う,To Gather,485
胃,イ(胃痛),Stomach,486
痛,いた。む,To Hurt,487
連,つ(連れて来て),Take along,488
記,キ(記事),Account,489
原,ゲン(原料),Primitive,490
案,アン,Idea,491
島,しま,Island,492
選,えら。ぶ,To Choose,493
挙,(選挙)きょ,Project,494
流,なが。れる,To Flow,495
消,き。える,To Disappear,496
害,ガイ,Harm,497
配,く。ばる  (心配)ハイ,To Distribute,498
宮,キュウ,Shinto Shrine,499
席,セキ,Location,500
差,サ(差し上がる),To Be Visible,501
候,(気候)コウ,Climate,502
速,はや。さ,Speedy,503
殺,サツ(殺人),Kill,504
根,コン(根気),Root (Patience),505
馬,うま ,Horse,506
航,コウ(航海),Voyage,507
倍,(十倍)バイ,(Tenfold),508
帯,おび  タイ,Belt,509
庭,にわ,Garden,510
徒,(生徒)ト,Follower...,511
庫,コ,Storage,512
笑,わら。う,To Laugh,513
郡,グン,District,514
酒,さけ,Sake,515
倉,ソウ(倉庫),Warehouse,516
訓,クン(訓読み),Instruction,517
浴,あ。びる,To Bathe,518
荷,ニ(荷物),Baggage,519
梅,うめ,Plum,520
孫,まご,Grandson,521
脈,(山脈)ミャク,Vein,522
粉,こな,Flour,523
部,(全部)ブ,Part,524
第,ダイ(第一),Ordinal,525
得,トク,Profit,526
組,(番組)ぐみ,Set,527
側,そば,Beside,528
球,たま,Ball,529
副,ふく(副隊長),Vice,530
商,ショウ(商品),Dealing,531
深,ふか。い,Deep,532
票,ヒョウ,Ballot,533
細,ほそ。い,Thin,534
健,ケン,Health,535
宿,やど,Inn,536
清,セイ,Purity,537
船,ふね,Ship,538
停,テイ,To halt,539
陸,リク,Land,540
康,コウ(康平),Ease,541
救,すく。う,To Save,542
貨,(通貨)カ,Freight (Currency),543
章,(文章)ショウ,Section,544
唱,とな。える,To Chant,545
祭,まつ。り,Festival,546
